state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
Pennsylvania,18,1292,1318,1339,1374,1426,1482,1530,1593,1656,1790,1893,1979,2052,2178
Rhode Island,1,8524,8524,8524,8524,8524,8524,8685,8685,8685,8685,8841,8841,8841,8841
Rhode Island,2,6421,6421,6421,6421,6421,6421,6544,6544,6544,6544,6662,6662,6662,6662
South Carolina,1,3362,3578,3837,4081,4404,4710,5005,5456,5830,6251,6758,7160,7520,7944
South Carolina,2,3428,3581,3680,3863,4018,4138,4267,4489,4666,4845,4973,5135,5298,5426
South Carolina,3,2692,2868,2969,3093,3322,3457,3571,3736,3854,4053,4212,4326,4483,4623
South Carolina,4,4525,4764,4906,5128,5320,5532,5734,5894,6041,6359,6498,6708,6909,7103
South Carolina,5,3527,3642,3762,3895,4044,4171,4336,4518,4665,4806,5022,5173,5262,5417
South Carolina,6,4293,4471,4670,4879,5113,5317,5519,5835,6078,6347,6681,6953,7191,7419
South Carolina,7,4745,4993,5198,5396,5718,5995,6212,6471,6785,7040,7388,7931,8184,8448
South Dakota,1,6294,6359,6414,6467,6543,6597,6631,6679,6739,6805,6889,6934,6968,7006
Tennessee,1,1036,1095,1155,1211,1259,1259,1352,1410,1523,1658,1753,1807,1872,1937
Tennessee,2,1192,1230,1288,1337,1407,1407,1501,1547,1591,1671,1761,1833,1887,1930
Tennessee,3,2739,2820,2841,2941,3011,3011,3157,3229,3320,3384,3529,3614,3707,3750
Tennessee,4,4284,4387,4474,4582,4662,4662,4828,4982,5163,5286,5512,5630,5769,5856
Tennessee,5,8146,8342,8547,8843,8977,8977,9328,9561,10107,10481,10817,11098,11467,11588
Tennessee,6,5515,5565,5680,5837,5919,5919,6172,6317,6500,6624,6809,6935,7021,7133
Tennessee,7,2058,2124,2194,2272,2345,2345,2461,2527,2654,2780,2935,3021,3105,3168
Tennessee,8,4259,4345,4409,4517,4634,4634,4854,4994,5127,5300,5480,5617,5705,5773
Tennessee,9,6284,6452,6569,6831,6946,6946,7350,7621,7861,8181,8470,8786,8963,9071
Texas,1,2601,2648,2722,2811,2832,2889,2892,3032,3167,3264,3361,3371,3496,3523
Texas,2,4176,4409,4620,4831,4987,5006,5255,5373,5619,5832,6039,6141,6258,6460
Texas,3,2009,2107,2187,2220,2261,2385,2467,2574,2676,2781,2857,2966,3044,3144
Texas,4,3018,3150,3206,3268,3341,3402,3424,3535,3669,3774,3895,3974,4007,4024
Texas,5,4134,4317,4390,4482,4600,4608,4791,4996,5141,5349,5594,5803,5985,6154
Texas,6,3287,3440,3725,3827,3966,4075,4148,4469,4690,4735,4958,5047,5047,5436
Texas,7,4176,4409,4620,4831,4987,5006,5255,5373,5619,5832,6039,6141,6258,6460
Texas,8,4580,4723,4823,4915,4950,4963,5088,5374,5596,5747,5829,5864,5882,6114
Texas,9,4077,4272,4460,4660,4845,4877,5073,5169,5378,5568,5764,5874,5967,6126
Texas,10,3799,3964,4140,4281,4369,4580,4850,5025,5271,5511,5742,5903,5970,6260
Texas,11,1404,1526,1642,1724,1878,1904,1952,2145,2259,2511,2705,2798,2890,2911
Texas,12,3063,3112,3414,3520,3720,3836,3917,4141,4335,4352,4530,4545,4545,4979
Texas,13,5530,5626,5689,5760,5796,5826,5826,5920,6037,6184,6307,6350,6361,6367
Texas,14,4313,4436,4733,4937,5464,5522,5658,6203,6324,6719,7263,8017,8061,8117
Texas,15,1697,1913,2253,2424,2597,2603,2887,3150,3487,3712,3923,4193,4201,4599
Texas,16,4078,4193,4346,4549,4648,4895,5010,5169,5340,5571,5812,6063,6063,6506
